filepath,filename,coupling,interaction_class,potential,source,sector,contains_antimatter,label
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45Clayburn_2023c_m_abs_pN.csv,45Clayburn_2023c_m_abs_pN,gVgV,nucleon-nucleon,V45,ClayburnUNKNOWN,pN,False,ClayburnUNKNOWN (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45_Wu_2023_m_abs_nN.csv,45_Wu_2023_m_abs_nN,gVgV,nucleon-nucleon,V45,Wu2023,nN,False,Wu2023 (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45Su_2021b_m_abs_NN.csv,45Su_2021b_m_abs_NN,gVgV,nucleon-nucleon,V45,SuUNKNOWN,nn,False,SuUNKNOWN (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/1aNNastro_m_abs.csv,1aNNastro_m_abs,gVgV,nucleon-nucleon,V1a,NNastroUNKNOWN,UNKNOWN,False,NNastroUNKNOWN (UNKNOWN)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45Wei_2022b_m_abs_pN.csv,45Wei_2022b_m_abs_pN,gVgV,nucleon-nucleon,V45,WeiUNKNOWN,pN,False,WeiUNKNOWN (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/3Kimball_2010_m_abs_np.csv,3Kimball_2010_m_abs_np,gVgV,nucleon-nucleon,V3,Kimball2010,np,False,Kimball2010 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/3Ledbetter_2013_m_abs_pN.csv,3Ledbetter_2013_m_abs_pN,gVgV,nucleon-nucleon,V3,Ledbetter2013,pN,False,Ledbetter2013 (p-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45Clayburn_2023b_m_abs_nN.csv,45Clayburn_2023b_m_abs_nN,gVgV,nucleon-nucleon,V45,ClayburnUNKNOWN,nN,False,ClayburnUNKNOWN (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45Haddock_2018b_m_abs_nN copy.csv,45Haddock_2018b_m_abs_nN copy,gVgV,nucleon-nucleon,V45,HaddockUNKNOWN,nN,False,HaddockUNKNOWN (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gsN_Casimir.csv,V1_gsN_Casimir,gVgV,gV_squareV1bounds,V1,gsNUNKNOWN,ee,False,gsNUNKNOWN (e⁻-e⁻)
